date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:21:55	24167/24167	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2009:21:53%20GMT	http://34.82.80.202/	C:/My%20Web%20Sites/nates.design/34.82.80.202/index.html	(from )
02:22:04	70/70	---MCZ	200	added ('OK')	text/plain	date:Mon,%2015%20Jun%202020%2009:22:03%20GMT	http://34.82.80.202/robots.txt		(from )
02:22:12	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2015%20Jun%202020%2009:22:11%20GMT	http://34.82.80.202/xmlrpc.php	C:/My%20Web%20Sites/nates.design/34.82.80.202/xmlrpc.php	(from http://34.82.80.202/)
02:22:13	53593/53593	---MCZ	200	added ('OK')	text/css	etag:W/%225edc8f60-d159%22	http://34.82.80.202/wp-includes/css/dist/block-library/style.min.css?ver=5.4.2	C:/My%20Web%20Sites/nates.design/34.82.80.202/wp-includes/css/dist/block-library/style.min7661.css	(from http://34.82.80.202/)
02:22:16	5083/5083	---MCZ	200	added ('OK')	text/css	etag:W/%225eddaaae-13db%22	http://34.82.80.202/wp-content/plugins/booster-pack-for-divi/styles/style.min.css?ver=1.0.0	C:/My%20Web%20Sites/nates.design/34.82.80.202/wp-content/plugins/booster-pack-for-divi/styles/style.min8a54.css	(from http://34.82.80.202/)
02:22:16	792772/792772	---MCZ	200	added ('OK')	text/css	etag:W/%225edc9d51-c18c4%22	http://34.82.80.202/wp-content/themes/Divi/style.css?ver=4.4.8	C:/My%20Web%20Sites/nates.design/34.82.80.202/wp-content/themes/Divi/style2827.css	(from http://34.82.80.202/)
02:22:18	47558/47558	---MCZ	200	added ('OK')	text/css	etag:W/%225cdc3999-b9c6%22	http://34.82.80.202/wp-includes/css/dashicons.min.css?ver=5.4.2	C:/My%20Web%20Sites/nates.design/34.82.80.202/wp-includes/css/dashicons.min7661.css	(from http://34.82.80.202/)
02:22:18	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%22573eaa90-2748%22	http://34.82.80.202/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/nates.design/34.82.80.202/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://34.82.80.202/)
02:22:18	6817/6817	---MCZ	200	added ('OK')	application/javascript	etag:W/%225edc9d51-1aa1%22	http://34.82.80.202/wp-content/themes/Divi/core/admin/js/es6-promise.auto.min.js?ver=5.4.2	C:/My%20Web%20Sites/nates.design/34.82.80.202/wp-content/themes/Divi/core/admin/js/es6-promise.auto.min7661.js	(from http://34.82.80.202/)
02:22:19	1696/1696	---MCZ	200	added ('OK')	application/javascript	etag:W/%225edc9d51-6a0%22	http://34.82.80.202/wp-content/themes/Divi/core/admin/js/recaptcha.js?ver=5.4.2	C:/My%20Web%20Sites/nates.design/34.82.80.202/wp-content/themes/Divi/core/admin/js/recaptcha7661.js	(from http://34.82.80.202/)
02:22:19	96873/96873	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cde37d2-17a69%22	http://34.82.80.202/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/nates.design/34.82.80.202/wp-includes/js/jquery/jquery4a5f.js	(from http://34.82.80.202/)
02:22:20	2140/2140	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22722e990d7ca73b929b99dacf0e11ee46%22	http://34.82.80.202/feed/	C:/My%20Web%20Sites/nates.design/34.82.80.202/feed/index.html	(from http://34.82.80.202/)
02:22:23	1610/1610	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2228d908cfd6c677b0cfe9c81836028404%22	http://34.82.80.202/comments/feed/	C:/My%20Web%20Sites/nates.design/34.82.80.202/comments/feed/index.html	(from http://34.82.80.202/)
